Date,Close
2026-02-20,499.8800048828125
2026-02-23,502.8500061035156
2026-02-24,531.9500122070312
2026-02-25,510.29998779296875
2026-02-26,512.5399780273438
2026-02-27,524.2899780273438
2026-03-02,531.0900268554688
2026-03-03,523.6400146484375
2026-03-04,536.1099853515625
2026-03-05,523.3099975585938
2026-03-06,525.030029296875
2026-03-09,539.7899780273438
2026-03-10,520.760009765625
2026-03-11,524.8300170898438
2026-03-12,528.969970703125
2026-03-13,531.1300048828125
2026-03-16,526.8900146484375
2026-03-17,529.1799926757812
2026-03-18,530.0800170898438
2026-03-19,532.52001953125
2026-03-20,519.4099731445312
2026-03-23,527.8699951171875
2026-03-24,535.260009765625
2026-03-25,530.3599853515625
2026-03-26,522.280029296875
2026-03-27,511.75
2026-03-30,467.3699951171875
2026-03-31,474.55999755859375
2026-04-01,439.20001220703125
2026-04-02,444.239990234375
2026-04-06,448.8599853515625
2026-04-07,449.7900085449219
2026-04-08,448.2799987792969
2026-04-09,377.9700012207031
2026-04-10,409.9700012207031
2026-04-13,416.7699890136719
2026-04-14,412.20001220703125
2026-04-15,417.29998779296875
2026-04-16,426.2699890136719
2026-04-17,422.5799865722656
2026-04-20,434.82000732421875
2026-04-21,437.7200012207031
2026-04-22,439.5
2026-04-23,439.1499938964844
2026-04-24,438.9100036621094
2026-04-27,436.8999938964844
2026-04-28,430.8999938964844
2026-04-29,439.0299987792969
2026-04-30,443.6700134277344
2026-05-01,433.6199951171875
