Date,Close
2026-02-20,198.9199981689453
2026-02-23,192.8300018310547
2026-02-24,174.3000030517578
2026-02-25,172.2100067138672
2026-02-26,175.57000732421875
2026-02-27,173.5
2026-03-02,171.99000549316406
2026-03-03,169.8800048828125
2026-03-04,169.9199981689453
2026-03-05,171.72000122070312
2026-03-06,168.24000549316406
2026-03-09,166.47999572753906
2026-03-10,166.39999389648438
2026-03-11,167.72000122070312
2026-03-12,164.97999572753906
2026-03-13,167.3000030517578
2026-03-16,167.47999572753906
2026-03-17,170.1699981689453
2026-03-18,169.97000122070312
2026-03-19,165.38999938964844
2026-03-20,163.86000061035156
2026-03-23,165.80999755859375
2026-03-24,165.60000610351562
2026-03-25,167.17999267578125
2026-03-26,164.97000122070312
2026-03-27,162.1699981689453
2026-03-30,159.72999572753906
2026-03-31,164.8000030517578
2026-04-01,165.72999572753906
2026-04-02,165.02999877929688
2026-04-06,166.10000610351562
2026-04-07,166.5800018310547
2026-04-08,172.77000427246094
2026-04-09,174.35000610351562
2026-04-10,175.47999572753906
2026-04-13,178.3699951171875
2026-04-14,179.19000244140625
2026-04-15,176.3300018310547
2026-04-16,173.57000732421875
2026-04-17,179.52000427246094
2026-04-20,180.61000061035156
2026-04-21,177.66000366210938
2026-04-22,176.74000549316406
2026-04-23,179.3800048828125
2026-04-24,178.27000427246094
2026-04-27,177.75999450683594
2026-04-28,169.83999633789062
2026-04-29,168.83999633789062
2026-04-30,170.38999938964844
2026-05-01,168.4600067138672
