Date,Close
2026-02-20,1996.8699951171875
2026-02-23,1864.4599609375
2026-02-24,1922.56005859375
2026-02-25,1767.7099609375
2026-02-26,1740.8800048828125
2026-02-27,1757.5799560546875
2026-03-02,1777.0
2026-03-03,1714.010009765625
2026-03-04,1769.030029296875
2026-03-05,1780.3599853515625
2026-03-06,1787.8599853515625
2026-03-09,1769.52001953125
2026-03-10,1742.0899658203125
2026-03-11,1766.0999755859375
2026-03-12,1680.0
2026-03-13,1670.0
2026-03-16,1732.3299560546875
2026-03-17,1728.1400146484375
2026-03-18,1690.260009765625
2026-03-19,1666.9300537109375
2026-03-20,1635.760009765625
2026-03-23,1666.0799560546875
2026-03-24,1612.02001953125
2026-03-25,1639.469970703125
2026-03-26,1630.989990234375
2026-03-27,1599.52001953125
2026-03-30,1619.199951171875
2026-03-31,1729.02001953125
2026-04-01,1718.969970703125
2026-04-02,1715.52001953125
2026-04-06,1710.3699951171875
2026-04-07,1742.300048828125
2026-04-08,1775.739990234375
2026-04-09,1793.2099609375
2026-04-10,1773.9599609375
2026-04-13,1831.9300537109375
2026-04-14,1840.6600341796875
2026-04-15,1872.1199951171875
2026-04-16,1822.1300048828125
2026-04-17,1855.8299560546875
2026-04-20,1870.0799560546875
2026-04-21,1854.1800537109375
2026-04-22,1860.97998046875
2026-04-23,1809.199951171875
2026-04-24,1835.219970703125
2026-04-27,1839.280029296875
2026-04-28,1791.989990234375
2026-04-29,1767.02001953125
2026-04-30,1792.6300048828125
2026-05-01,1850.050048828125
