Date,Close
2026-02-20,689.4299926757812
2026-02-23,682.3900146484375
2026-02-24,687.3499755859375
2026-02-25,693.1500244140625
2026-02-26,689.2999877929688
2026-02-27,685.989990234375
2026-03-02,686.3800048828125
2026-03-03,680.3300170898438
2026-03-04,685.1300048828125
2026-03-05,681.3099975585938
2026-03-06,672.3800048828125
2026-03-09,678.27001953125
2026-03-10,677.1799926757812
2026-03-11,676.3300170898438
2026-03-12,666.0599975585938
2026-03-13,662.2899780273438
2026-03-16,669.030029296875
2026-03-17,670.7899780273438
2026-03-18,661.4299926757812
2026-03-19,659.7999877929688
2026-03-20,648.5700073242188
2026-03-23,655.3800048828125
2026-03-24,653.1799926757812
2026-03-25,656.8200073242188
2026-03-26,645.0900268554688
2026-03-27,634.0900268554688
2026-03-30,631.969970703125
2026-03-31,650.3400268554688
2026-04-01,655.239990234375
2026-04-02,655.8300170898438
2026-04-06,658.9299926757812
2026-04-07,659.219970703125
2026-04-08,676.010009765625
2026-04-09,679.9099731445312
2026-04-10,679.4600219726562
2026-04-13,686.0999755859375
2026-04-14,694.4600219726562
2026-04-15,699.9400024414062
2026-04-16,701.6599731445312
2026-04-17,710.1400146484375
2026-04-20,708.719970703125
2026-04-21,704.0800170898438
2026-04-22,711.2100219726562
2026-04-23,708.4500122070312
2026-04-24,713.9400024414062
2026-04-27,715.1699829101562
2026-04-28,711.6900024414062
2026-04-29,711.5800170898438
2026-04-30,718.6599731445312
2026-05-01,720.6500244140625
