Date,Close
2026-02-20,85.66000366210938
2026-02-23,87.83999633789062
2026-02-24,120.41000366210938
2026-02-25,128.60000610351562
2026-02-26,148.33999633789062
2026-02-27,135.02000427246094
2026-03-02,132.61000061035156
2026-03-03,131.50999450683594
2026-03-04,135.49000549316406
2026-03-05,134.9499969482422
2026-03-06,134.38999938964844
2026-03-09,136.6999969482422
2026-03-10,142.11000061035156
2026-03-11,139.69000244140625
2026-03-12,136.60000610351562
2026-03-13,122.05999755859375
2026-03-16,126.05000305175781
2026-03-17,120.80000305175781
2026-03-18,114.2300033569336
2026-03-19,113.91000366210938
2026-03-20,112.5
2026-03-23,117.04000091552734
2026-03-24,116.2300033569336
2026-03-25,120.38999938964844
2026-03-26,117.61000061035156
2026-03-27,112.37000274658203
2026-03-30,110.66000366210938
2026-03-31,124.6500015258789
2026-04-01,120.37999725341797
2026-04-02,123.45999908447266
2026-04-06,119.86000061035156
2026-04-07,120.02999877929688
2026-04-08,123.16999816894531
2026-04-09,130.1999969482422
2026-04-10,127.12000274658203
2026-04-13,129.0
2026-04-14,129.52999877929688
2026-04-15,128.6300048828125
2026-04-16,124.18000030517578
2026-04-17,130.00999450683594
2026-04-20,129.3300018310547
2026-04-21,130.64999389648438
2026-04-22,130.63999938964844
2026-04-23,127.05000305175781
2026-04-24,123.58999633789062
2026-04-27,128.63999938964844
2026-04-28,125.95999908447266
2026-04-29,122.44000244140625
2026-04-30,128.32000732421875
2026-05-01,126.83999633789062
