Date,Close
2026-02-20,153.4600067138672
2026-02-23,146.19000244140625
2026-02-24,148.58999633789062
2026-02-25,141.6300048828125
2026-02-26,148.8800048828125
2026-02-27,139.7899932861328
2026-03-02,140.91000366210938
2026-03-03,138.19000244140625
2026-03-04,137.92999267578125
2026-03-05,131.74000549316406
2026-03-06,120.12999725341797
2026-03-09,121.16000366210938
2026-03-10,114.9000015258789
2026-03-11,115.45999908447266
2026-03-12,110.94000244140625
2026-03-13,108.91000366210938
2026-03-16,109.51000213623047
2026-03-17,109.47000122070312
2026-03-18,105.58999633789062
2026-03-19,103.11000061035156
2026-03-20,100.41999816894531
2026-03-23,104.13999938964844
2026-03-24,102.55999755859375
2026-03-25,106.72000122070312
2026-03-26,104.83000183105469
2026-03-27,100.33999633789062
2026-03-30,96.87000274658203
2026-03-31,99.55000305175781
2026-04-01,94.02999877929688
2026-04-02,91.04000091552734
2026-04-06,95.61000061035156
2026-04-07,94.16999816894531
2026-04-08,101.5199966430664
2026-04-09,103.37000274658203
2026-04-10,102.95999908447266
2026-04-13,104.02999877929688
2026-04-14,103.63999938964844
2026-04-15,100.3499984741211
2026-04-16,104.0999984741211
2026-04-17,110.18000030517578
2026-04-20,111.20999908447266
2026-04-21,107.44999694824219
2026-04-22,107.86000061035156
2026-04-23,121.45999908447266
2026-04-24,122.44999694824219
2026-04-27,124.61000061035156
2026-04-28,133.9600067138672
2026-04-29,131.60000610351562
2026-04-30,126.91999816894531
2026-05-01,133.1300048828125
